eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID,measurementMethod
IYS2022-Franklin-5-Trawl-50-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-49-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-48-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-47-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-47-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-48-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-49-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-50-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-50-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-49-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-48-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-47-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-46-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-47-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-48-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-51-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-52-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-53-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-53-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-52-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-52-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-51-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-53-135,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-55-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-54-138,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-54-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-55-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-56-141,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-57-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-56-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-55-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-54-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-53-144,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-51-132,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,CCGS Sir John Franklin,http://vocab.nerc.ac.uk/collection/C17/current/18KD/,,,,,
IYS2022-Franklin-5-Trawl-50-135,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,3503,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-50-135-Bottom_Depth_Meters,,
IYS2022-Franklin-5-Trawl-49-135,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,3511,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-49-135-Bottom_Depth_Meters,,
IYS2022-Franklin-5-Trawl-48-135,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,2893,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-48-135-Bottom_Depth_Meters,,
IYS2022-Franklin-5-Trawl-47-135,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,3149,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-47-135-Bottom_Depth_Meters,,
IYS2022-Franklin-5-Trawl-47-138,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,3580,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-47-138-Bottom_Depth_Meters,,
IYS2022-Franklin-5-Trawl-48-138,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,3284,,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-Franklin-5-Trawl-48-138-Bottom_Depth_Meters,,
