eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus,lifeStage
IYS2022-002-009,IYS2022-002-009-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,,2022-02-22,Tyler Zubkowski,HumanObservation,present,
IYS2022-002-009,IYS2022-002-009-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,39,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-22,Tyler Zubkowski,HumanObservation,present,
IYS2022-002-009,IYS2022-002-009-3XU-0001,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0002,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0003,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0004,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0005,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0006,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0007,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0008,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0009,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0010,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0011,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0012,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0013,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0014,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0015,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0016,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0017,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0018,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0019,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0020,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0021,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0022,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0023,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0024,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0025,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0026,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0027,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0028,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0029,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0030,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0031,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0032,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0033,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0034,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0035,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0036,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0037,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
IYS2022-002-009,IYS2022-002-009-3XU-0038,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,,,HumanObservation,present,"NA"
