eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-001,IYS2022-Franklin-5-46-144-Trawl-3X0-0009,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-002,IYS2022-Franklin-5-46-144-Trawl-3X0-0010,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-003,IYS2022-Franklin-5-46-144-Trawl-3X0-0011,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-004,IYS2022-Franklin-5-46-144-Trawl-3X0-0012,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-005,IYS2022-Franklin-5-46-144-Trawl-3X0-0013,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-006,IYS2022-Franklin-5-46-144-Trawl-3X0-0014,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-007,IYS2022-Franklin-5-46-144-Trawl-3X0-0015,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-008,IYS2022-Franklin-5-46-144-Trawl-3X0-0016,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-009,IYS2022-Franklin-5-46-144-Trawl-3X0-0017,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
IYS2022-Franklin-5-46-144-Trawl,IYS2022-Franklin-5-46-144-Trawl-3X0-rr-010,IYS2022-Franklin-5-46-144-Trawl-3X0-0018,is a subset of,IYS2022-Franklin-5-46-144-Trawl-3X0
