eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus
IYS2022-002-009,IYS2022-002-009-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-017,IYS2022-002-017-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-041,IYS2022-002-041-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,4,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-27T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-045,IYS2022-002-045-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-27T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-049,IYS2022-002-049-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-28T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-050,IYS2022-002-050-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-28T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-059,IYS2022-002-059-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-01T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-069,IYS2022-002-069-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-03T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-073,IYS2022-002-073-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-04T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-077,IYS2022-002-077-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-04T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-081,IYS2022-002-081-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-05T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-085,IYS2022-002-085-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-05T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-089,IYS2022-002-089-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-06T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-093,IYS2022-002-093-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-06T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-097,IYS2022-002-097-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-10T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-101,IYS2022-002-101-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,7,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-10T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-106,IYS2022-002-106-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-11T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-110,IYS2022-002-110-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-11T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-114,IYS2022-002-114-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-12T00:00:00Z,Erika Anderson,HumanObservation,present
